locusId	sysName	scaffoldId	begin	end	strand	type	desc
Psest_4413	GFF4334	NC_019939.1	65	352	-	1	hypothetical protein
Psest_4414	GFF4335	NC_019939.1	303	632	-	1	hypothetical protein
Psest_4416	GFF4336	NC_019939.1	1481	2704	-	1	Replication protein.
Psest_4395	GFF4319	NC_019938.1	318	554	-	1	hypothetical protein
Psest_4396	GFF4320	NC_019938.1	713	1357	+	1	Site-specific recombinases, DNA invertase Pin homologs
Psest_4397	GFF4321	NC_019938.1	1440	1892	+	1	hypothetical protein
Psest_4398	GFF4322	NC_019938.1	2191	2370	+	1	Predicted transcriptional regulator
Psest_4399	GFF4323	NC_019938.1	2374	4080	+	1	Predicted P-loop ATPase and inactivated derivatives
Psest_4400	GFF4324	NC_019938.1	4635	4802	+	1	hypothetical protein
Psest_4401	GFF4325	NC_019938.1	4799	5005	+	1	hypothetical protein
Psest_4402	GFF4326	NC_019938.1	5078	5221	+	1	hypothetical protein
Psest_4403	GFF4327	NC_019938.1	5331	5651	+	1	hypothetical protein
Psest_4404	GFF4328	NC_019938.1	6621	6893	+	1	hypothetical protein
Psest_4405	GFF4329	NC_019938.1	6890	7069	+	1	hypothetical protein
Psest_4406	GFF4330	NC_019938.1	7069	7275	+	1	hypothetical protein
Psest_4409	GFF4331	NC_019938.1	8143	8763	+	1	hypothetical protein
Psest_4410	GFF4332	NC_019938.1	8789	9457	+	1	hypothetical protein
Psest_4411	GFF4333	NC_019938.1	9454	9855	+	1	Phage terminase, small subunit
Psest_4378	GFF4303	NC_019937.1	753	1301	+	1	hypothetical protein
Psest_4379	GFF4304	NC_019937.1	1533	2168	-	1	hypothetical protein
Psest_4380	GFF4305	NC_019937.1	2905	3231	+	1	Domain of Unknown Function (DUF326).
Psest_4381	GFF4306	NC_019937.1	3549	3839	-	1	Protein of unknown function (DUF1652).
Psest_4382	GFF4307	NC_019937.1	4102	4335	+	1	hypothetical protein
Psest_4383	GFF4308	NC_019937.1	4443	5000	+	1	Site-specific recombinases, DNA invertase Pin homologs
Psest_4384	GFF4309	NC_019937.1	5139	5330	+	1	hypothetical protein
Psest_4385	GFF4310	NC_019937.1	5314	5544	+	1	hypothetical protein
Psest_4386	GFF4311	NC_019937.1	5695	5970	+	1	hypothetical protein
Psest_4387	GFF4312	NC_019937.1	5967	6164	-	1	hypothetical protein
Psest_4388	GFF4313	NC_019937.1	6596	7981	-	1	hypothetical protein
Psest_4389	GFF4314	NC_019937.1	8234	9913	-	1	Relaxase/Mobilisation nuclease domain.
Psest_4390	GFF4315	NC_019937.1	9910	10317	-	1	hypothetical protein
Psest_4391	GFF4316	NC_019937.1	11002	11592	+	1	ATPases involved in chromosome partitioning
Psest_4392	GFF4317	NC_019937.1	11595	11837	+	1	ParG.
Psest_4393	GFF4318	NC_019937.1	11866	12753	-	1	Capsule polysaccharide export protein
Psest_0001	GFF1	NC_019936.1	12	146	-	1	ribosomal protein L34, bacterial type
Psest_0002	GFF2	NC_019936.1	661	2109	+	1	chromosomal replication initiator protein DnaA
Psest_0003	GFF3	NC_019936.1	2143	3246	+	1	DNA polymerase III, beta subunit
Psest_0004	GFF4	NC_019936.1	3260	4372	+	1	recF protein
Psest_0005	GFF5	NC_019936.1	4369	6783	+	1	DNA gyrase, B subunit
Psest_0006	GFF6	NC_019936.1	7009	8571	+	1	alkyl hydroperoxide reductase, F subunit
Psest_0007	GFF7	NC_019936.1	8642	10012	-	1	diguanylate cyclase (GGDEF) domain
Psest_0008	GFF8	NC_019936.1	10063	10812	-	1	1-acyl-sn-glycerol-3-phosphate acyltransferase
Psest_0009	GFF9	NC_019936.1	10809	11387	-	1	histidinol-phosphate phosphatase family domain/HAD-superfamily hydrolase, subfamily IIIA
Psest_0010	GFF10	NC_019936.1	11356	13410	-	1	glycyl-tRNA synthetase, tetrameric type, beta subunit
Psest_0011	GFF11	NC_019936.1	13407	14354	-	1	glycyl-tRNA synthetase, tetrameric type, alpha subunit
Psest_0012	GFF12	NC_019936.1	14462	15019	+	1	DNA-3-methyladenine glycosylase I
Psest_0013	GFF13	NC_019936.1	15128	16015	+	1	Lauroyl/myristoyl acyltransferase
Psest_0014	GFF14	NC_019936.1	16042	16308	+	1	PilZ domain.
Psest_0015	GFF15	NC_019936.1	16334	16651	-	1	Tetratricopeptide repeat.
Psest_0016	GFF16	NC_019936.1	16798	17634	-	1	ectoine/hydroxyectoine ABC transporter, ATP-binding protein
Psest_0017	GFF17	NC_019936.1	17631	18290	-	1	ectoine/hydroxyectoine ABC transporter, permease protein EhuD
Psest_0018	GFF18	NC_019936.1	18287	18946	-	1	ectoine/hydroxyectoine ABC transporter, permease protein EhuC
Psest_0019	GFF19	NC_019936.1	19067	19924	-	1	ectoine/hydroxyectoine ABC transporter solute-binding protein
Psest_0020	GFF20	NC_019936.1	20255	21628	-	1	K+ transport systems, NAD-binding component
Psest_0021	GFF21	NC_019936.1	21703	23025	-	1	ribosomal RNA small subunit methyltransferase RsmB
Psest_0022	GFF22	NC_019936.1	23022	23966	-	1	methionyl-tRNA formyltransferase
Psest_0023	GFF23	NC_019936.1	24022	24528	-	1	peptide deformylase
Psest_0024	GFF24	NC_019936.1	24677	25702	+	1	LysM domain.
Psest_0025	GFF25	NC_019936.1	25790	26887	+	1	DNA protecting protein DprA
Psest_0026	GFF26	NC_019936.1	27043	27600	+	1	Putative translation factor (SUA5)
Psest_0027	GFF27	NC_019936.1	27653	28630	-	1	NADPH:quinone reductase and related Zn-dependent oxidoreductases
Psest_0028	GFF28	NC_019936.1	28783	29700	+	1	Coproporphyrinogen III oxidase
Psest_0029	GFF29	NC_019936.1	29744	30556	+	1	shikimate 5-dehydrogenase
Psest_0030	GFF30	NC_019936.1	30553	31164	-	1	Putative NADH-flavin reductase
Psest_0031	GFF31	NC_019936.1	31177	31485	-	1	Uncharacterized conserved protein
Psest_0032	GFF32	NC_019936.1	31732	32670	+	1	D-alanyl-D-alanine carboxypeptidase
Psest_0033	GFF33	NC_019936.1	32820	33233	+	1	Protein of unknown function (DUF2946).
Psest_0034	GFF34	NC_019936.1	33359	35407	+	1	Outer membrane receptor proteins, mostly Fe transport
Psest_0035	GFF35	NC_019936.1	35413	36939	+	1	hypothetical protein
Psest_0036	GFF36	NC_019936.1	36918	38621	-	1	Predicted membrane protein
Psest_0037	GFF37	NC_019936.1	38805	40874	+	1	trehalose synthase, Pseudomonas stutzeri type
Psest_0038	GFF38	NC_019936.1	40954	41574	+	1	hypothetical protein
Psest_0039	GFF39	NC_019936.1	41591	43255	-	1	phosphoglucomutase, alpha-D-glucose phosphate-specific
Psest_0040	GFF40	NC_019936.1	43504	43701	+	1	Protein of unknown function (DUF2934).
Psest_0041	GFF41	NC_019936.1	43886	45367	+	1	Uncharacterized protein conserved in bacteria
Psest_0042	GFF42	NC_019936.1	45486	46388	-	1	Transcriptional regulator
Psest_0043	GFF43	NC_019936.1	46532	47083	-	1	Predicted membrane protein
Psest_0044	GFF44	NC_019936.1	47308	47583	+	1	Nuclease-related domain.
Psest_0045	GFF45	NC_019936.1	47998	48375	+	1	hypothetical protein
Psest_0046	GFF46	NC_019936.1	48555	49013	+	1	Uncharacterized protein conserved in bacteria
Psest_0047	GFF47	NC_019936.1	49298	50521	-	1	Predicted esterase of the alpha-beta hydrolase superfamily
Psest_0048	GFF48	NC_019936.1	50929	52764	+	1	ABC-type multidrug transport system, ATPase and permease components
Psest_0049	GFF49	NC_019936.1	52951	53556	+	1	Uncharacterized conserved protein
Psest_0050	GFF50	NC_019936.1	53712	53993	+	1	Predicted acetyltransferase
Psest_0051	GFF51	NC_019936.1	54187	54516	+	1	hypothetical protein
Psest_0052	GFF52	NC_019936.1	54527	55279	-	1	hypothetical protein
Psest_0053	GFF53	NC_019936.1	55447	55950	+	1	hypothetical protein
Psest_0054	GFF54	NC_019936.1	56037	56429	-	1	hypothetical protein
Psest_0055	GFF55	NC_019936.1	56641	57462	-	1	hypothetical protein
Psest_0056	GFF56	NC_019936.1	57791	58633	-	1	Glutathione S-transferase
Psest_0057	GFF57	NC_019936.1	58774	59067	-	1	Predicted transcriptional regulators
Psest_0058	GFF58	NC_019936.1	59073	60392	-	1	HipA-like C-terminal domain./HipA-like N-terminal domain.
Psest_0059	GFF59	NC_019936.1	60782	61153	+	1	hypothetical protein
Psest_0060	GFF60	NC_019936.1	61156	61338	+	1	Predicted Fe-S protein
Psest_0061	GFF61	NC_019936.1	61457	61786	-	1	hypothetical protein
Psest_0062	GFF62	NC_019936.1	61962	62771	-	1	tryptophan synthase, alpha subunit
Psest_0063	GFF63	NC_019936.1	62768	63979	-	1	tryptophan synthase, beta subunit
Psest_0064	GFF64	NC_019936.1	64151	65053	+	1	Transcriptional regulator
Psest_0065	GFF65	NC_019936.1	65325	66716	+	1	Subtilisin-like serine proteases
Psest_0066	GFF66	NC_019936.1	66993	67493	+	1	Protein of unknown function (DUF3060).
Psest_0067	GFF67	NC_019936.1	67502	68500	-	1	Transcriptional regulator containing an amidase domain and an AraC-type DNA-binding HTH domain
Psest_0068	GFF68	NC_019936.1	68602	69156	+	1	Amidases related to nicotinamidase
Psest_0069	GFF69	NC_019936.1	69236	70300	-	1	UDP-glucose-4-epimerase
Psest_0070	GFF70	NC_019936.1	70720	71904	+	1	Glycosyltransferase
Psest_0071	GFF71	NC_019936.1	71892	73112	+	1	UDP-galactopyranose mutase
Psest_0072	GFF72	NC_019936.1	73209	74363	+	1	hypothetical protein
Psest_0073	GFF73	NC_019936.1	74360	76165	+	1	ABC-type multidrug transport system, ATPase and permease components
Psest_0074	GFF74	NC_019936.1	76162	76377	+	1	hypothetical protein
Psest_0075	GFF75	NC_019936.1	76694	76909	+	1	Uncharacterized conserved protein
Psest_0076	GFF76	NC_019936.1	76967	78331	-	1	NhaP-type Na+/H+ and K+/H+ antiporters
Psest_0077	GFF77	NC_019936.1	78457	79455	-	1	luciferase family oxidoreductase, group 1
Psest_0078	GFF78	NC_019936.1	79486	79899	-	1	hypothetical protein
Psest_0079	GFF79	NC_019936.1	79994	80419	-	1	hypothetical protein
Psest_0080	GFF80	NC_019936.1	80563	81621	+	1	Predicted aminopeptidase
Psest_0081	GFF81	NC_019936.1	81839	83008	+	1	hypothetical protein
Psest_0082	GFF82	NC_019936.1	83019	83738	+	1	Domain of unknown function (DUF892).
Psest_0083	GFF83	NC_019936.1	84675	85082	-	1	Uncharacterized conserved protein
Psest_0084	GFF84	NC_019936.1	85079	87103	-	1	TRAP transporter, 4TM/12TM fusion protein
Psest_0085	GFF85	NC_019936.1	87238	88191	-	1	TRAP transporter solute receptor, TAXI family
Psest_0086	GFF86	NC_019936.1	88546	88971	+	1	hypothetical protein
Psest_0087	GFF87	NC_019936.1	89043	89285	+	1	hypothetical protein
