Operon number	Sequence	Start	Stop	Strand	Number of Genes	Genes_1	Genes_2	Genes_3	Genes_4	Genes_5	Genes_6	Genes_7	Genes_8	Genes_9	Genes_10	Genes_11	Genes_12	Genes_13	Genes_14	Genes_15	Genes_16
operon 1	NZ_CP015225.1	34541	40382	-	2	TK06_RS00035	TK06_RS00040														
operon 2	NZ_CP015225.1	41033	44580	-	3	TK06_RS00045	TK06_RS00050	TK06_RS00055													
operon 3	NZ_CP015225.1	51075	55602	-	3	TK06_RS00085	TK06_RS00090	TK06_RS00095													
operon 4	NZ_CP015225.1	66405	67926	+	2	TK06_RS00140	TK06_RS00145														
operon 5	NZ_CP015225.1	73056	75587	-	2	TK06_RS00165	TK06_RS00170														
operon 6	NZ_CP015225.1	75774	78357	-	4	TK06_RS00175	TK06_RS30425	TK06_RS00180	TK06_RS00185												
operon 7	NZ_CP015225.1	78501	81098	+	4	TK06_RS00190	TK06_RS00195	TK06_RS00200	TK06_RS00205												
operon 8	NZ_CP015225.1	87322	87788	-	2	TK06_RS00230	TK06_RS00235														
operon 9	NZ_CP015225.1	94876	96277	+	2	TK06_RS00285	TK06_RS00290														
operon 10	NZ_CP015225.1	103010	105084	+	2	TK06_RS00320	TK06_RS00325														
operon 11	NZ_CP015225.1	105223	108303	+	3	TK06_RS00330	TK06_RS00335	TK06_RS00340													
operon 12	NZ_CP015225.1	109678	113464	+	3	TK06_RS00350	TK06_RS30430	TK06_RS00355													
operon 13	NZ_CP015225.1	114413	117295	+	3	TK06_RS00365	TK06_RS00370	TK06_RS00375													
operon 14	NZ_CP015225.1	117987	121532	+	3	TK06_RS00385	TK06_RS00390	TK06_RS00395													
operon 15	NZ_CP015225.1	129986	130467	-	2	TK06_RS00460	TK06_RS30435														
operon 16	NZ_CP015225.1	140697	143660	+	4	TK06_RS00525	TK06_RS00530	TK06_RS00535	TK06_RS00540												
operon 17	NZ_CP015225.1	148544	154495	+	6	TK06_RS00565	TK06_RS00570	TK06_RS00575	TK06_RS00580	TK06_RS00585	TK06_RS00590										
operon 18	NZ_CP015225.1	155679	173671	-	16	TK06_RS00600	TK06_RS00605	TK06_RS00610	TK06_RS00615	TK06_RS00620	TK06_RS00625	TK06_RS00630	TK06_RS00635	TK06_RS00640	TK06_RS00645	TK06_RS00650	TK06_RS00655	TK06_RS00660	TK06_RS00665	TK06_RS00670	TK06_RS00675
operon 19	NZ_CP015225.1	176445	180952	+	4	TK06_RS00685	TK06_RS00690	TK06_RS00695	TK06_RS00700												
operon 20	NZ_CP015225.1	185041	188594	-	3	TK06_RS00720	TK06_RS00725	TK06_RS00730													
operon 21	NZ_CP015225.1	195438	200836	+	2	TK06_RS00760	TK06_RS00765														
operon 22	NZ_CP015225.1	201544	204225	+	2	TK06_RS00775	TK06_RS00780														
operon 23	NZ_CP015225.1	206185	207440	-	2	TK06_RS00790	TK06_RS00795														
operon 24	NZ_CP015225.1	207690	210793	+	2	TK06_RS00800	TK06_RS00805														
operon 25	NZ_CP015225.1	212509	213482	-	2	TK06_RS00825	TK06_RS00830														
operon 26	NZ_CP015225.1	214281	221244	+	7	TK06_RS00840	TK06_RS00845	TK06_RS00850	TK06_RS00855	TK06_RS00860	TK06_RS00865	TK06_RS00870									
operon 27	NZ_CP015225.1	223646	226761	+	4	TK06_RS00900	TK06_RS00905	TK06_RS00910	TK06_RS00915												
operon 28	NZ_CP015225.1	226871	230944	+	4	TK06_RS00920	TK06_RS00925	TK06_RS00930	TK06_RS00935												
operon 29	NZ_CP015225.1	231302	235361	-	2	TK06_RS00945	TK06_RS00950														
operon 30	NZ_CP015225.1	237073	240607	+	4	TK06_RS00960	TK06_RS00965	TK06_RS00970	TK06_RS00975												
operon 31	NZ_CP015225.1	240740	244458	+	4	TK06_RS00980	TK06_RS30455	TK06_RS00985	TK06_RS00990												
operon 32	NZ_CP015225.1	249712	250262	+	2	TK06_RS01010	TK06_RS01015														
operon 33	NZ_CP015225.1	250537	260597	-	9	TK06_RS01020	TK06_RS01025	TK06_RS01030	TK06_RS01035	TK06_RS01040	TK06_RS01045	TK06_RS01050	TK06_RS01055	TK06_RS01060							
operon 34	NZ_CP015225.1	267192	269946	+	2	TK06_RS01080	TK06_RS01085														
operon 35	NZ_CP015225.1	269995	271801	-	2	TK06_RS01090	TK06_RS01095														
operon 36	NZ_CP015225.1	274501	276443	+	2	TK06_RS01105	TK06_RS01110														
operon 37	NZ_CP015225.1	277022	279126	-	2	TK06_RS01120	TK06_RS01125														
operon 38	NZ_CP015225.1	279239	284975	+	3	TK06_RS01130	TK06_RS01135	TK06_RS01140													
operon 39	NZ_CP015225.1	287858	292072	-	4	TK06_RS01155	TK06_RS01160	TK06_RS01165	TK06_RS01170												
operon 40	NZ_CP015225.1	292418	295083	-	2	TK06_RS01175	TK06_RS01180														
operon 41	NZ_CP015225.1	299887	303202	+	4	TK06_RS01215	TK06_RS01220	TK06_RS01225	TK06_RS01230												
operon 42	NZ_CP015225.1	303252	306342	+	3	TK06_RS01235	TK06_RS01240	TK06_RS01245													
operon 43	NZ_CP015225.1	318247	320235	+	3	TK06_RS01290	TK06_RS01295	TK06_RS01300													
operon 44	NZ_CP015225.1	324816	327200	-	3	TK06_RS01325	TK06_RS01330	TK06_RS01335													
operon 45	NZ_CP015225.1	328033	338027	-	8	TK06_RS01345	TK06_RS01350	TK06_RS01355	TK06_RS01360	TK06_RS01365	TK06_RS01370	TK06_RS01375	TK06_RS01380								
operon 46	NZ_CP015225.1	338165	342972	-	5	TK06_RS01385	TK06_RS01390	TK06_RS01395	TK06_RS01400	TK06_RS01405											
operon 47	NZ_CP015225.1	348587	350171	-	2	TK06_RS01425	TK06_RS01430														
operon 48	NZ_CP015225.1	351875	353619	-	2	TK06_RS01440	TK06_RS01445														
operon 49	NZ_CP015225.1	360195	362857	+	2	TK06_RS01480	TK06_RS01485														
operon 50	NZ_CP015225.1	363417	365903	-	3	TK06_RS01495	TK06_RS01500	TK06_RS01505													
operon 51	NZ_CP015225.1	366212	369298	+	2	TK06_RS01510	TK06_RS01515														
operon 52	NZ_CP015225.1	369402	373789	+	4	TK06_RS01520	TK06_RS01525	TK06_RS01530	TK06_RS01535												
operon 53	NZ_CP015225.1	375004	377381	-	5	TK06_RS01545	TK06_RS01550	TK06_RS01555	TK06_RS01560	TK06_RS01565											
operon 54	NZ_CP015225.1	377601	378193	-	2	TK06_RS01570	TK06_RS01575														
operon 55	NZ_CP015225.1	379362	381663	+	2	TK06_RS01590	TK06_RS01595														
operon 56	NZ_CP015225.1	386745	390187	-	3	TK06_RS01620	TK06_RS01625	TK06_RS01630													
operon 57	NZ_CP015225.1	391587	393850	+	2	TK06_RS01640	TK06_RS01645														
operon 58	NZ_CP015225.1	399515	401549	-	3	TK06_RS01675	TK06_RS01680	TK06_RS01685													
operon 59	NZ_CP015225.1	405517	407866	-	2	TK06_RS01710	TK06_RS01715														
operon 60	NZ_CP015225.1	408044	410097	-	2	TK06_RS01720	TK06_RS01725														
operon 61	NZ_CP015225.1	410438	411455	+	2	TK06_RS01730	TK06_RS01735														
operon 62	NZ_CP015225.1	411609	413459	+	2	TK06_RS01740	TK06_RS01745														
operon 63	NZ_CP015225.1	414114	415774	+	2	TK06_RS01755	TK06_RS01760														
operon 64	NZ_CP015225.1	419238	420768	-	2	TK06_RS01780	TK06_RS01785														
operon 65	NZ_CP015225.1	423375	434785	+	10	TK06_RS01800	TK06_RS01805	TK06_RS01810	TK06_RS01815	TK06_RS01820	TK06_RS01825	TK06_RS01830	TK06_RS01835	TK06_RS01840	TK06_RS01845						
operon 66	NZ_CP015225.1	437749	439355	-	2	TK06_RS01860	TK06_RS01865														
operon 67	NZ_CP015225.1	440796	442832	+	2	TK06_RS01875	TK06_RS01880														
operon 68	NZ_CP015225.1	449994	450517	-	2	TK06_RS01920	TK06_RS01925														
operon 69	NZ_CP015225.1	452708	455380	+	2	TK06_RS01940	TK06_RS01945														
operon 70	NZ_CP015225.1	456997	459394	-	2	TK06_RS01955	TK06_RS01960														
operon 71	NZ_CP015225.1	461957	463059	+	2	TK06_RS01975	TK06_RS01980														
operon 72	NZ_CP015225.1	467230	468656	+	2	TK06_RS02000	TK06_RS02005														
operon 73	NZ_CP015225.1	472318	473487	+	2	TK06_RS02020	TK06_RS02025														
operon 74	NZ_CP015225.1	481369	490073	-	9	TK06_RS02075	TK06_RS02080	TK06_RS02085	TK06_RS02090	TK06_RS02095	TK06_RS02100	TK06_RS02105	TK06_RS02110	TK06_RS02115							
operon 75	NZ_CP015225.1	497691	500208	-	3	TK06_RS02160	TK06_RS02165	TK06_RS02170													
operon 76	NZ_CP015225.1	502012	504569	-	3	TK06_RS02185	TK06_RS02190	TK06_RS02195													
operon 77	NZ_CP015225.1	504871	505374	-	2	TK06_RS30485	TK06_RS02200														
operon 78	NZ_CP015225.1	528654	530661	+	2	TK06_RS02315	TK06_RS02320														
operon 79	NZ_CP015225.1	536108	537492	-	2	TK06_RS02350	TK06_RS02355														
operon 80	NZ_CP015225.1	543500	548456	-	4	TK06_RS02390	TK06_RS02395	TK06_RS02400	TK06_RS02405												
operon 81	NZ_CP015225.1	551539	554390	-	3	TK06_RS02425	TK06_RS02430	TK06_RS02435													
operon 82	NZ_CP015225.1	554449	556218	-	2	TK06_RS02440	TK06_RS02445														
operon 83	NZ_CP015225.1	562747	565389	-	2	TK06_RS02480	TK06_RS02485														
operon 84	NZ_CP015225.1	569178	572030	+	2	TK06_RS02500	TK06_RS02505														
operon 85	NZ_CP015225.1	572701	574747	-	2	TK06_RS02515	TK06_RS02520														
operon 86	NZ_CP015225.1	575016	578003	+	3	TK06_RS02525	TK06_RS02530	TK06_RS02535													
