Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name
Psest_0001	Psest_0001	LSU ribosomal protein L34P  	2507149015	Pseudomonas stutzeri RCH2
Psest_0002	Psest_0002	chromosomal replication initiator protein  	2507149015	Pseudomonas stutzeri RCH2
Psest_0003	Psest_0003	DNA polymerase-3 subunit beta  	2507149015	Pseudomonas stutzeri RCH2
Psest_0004	Psest_0004	DNA replication and repair protein RecF  	2507149015	Pseudomonas stutzeri RCH2
Psest_0005	Psest_0005	DNA gyrase subunit B  	2507149015	Pseudomonas stutzeri RCH2
Psest_0006	Psest_0006	alkyl hydroperoxide reductase subunit F  	2507149015	Pseudomonas stutzeri RCH2
Psest_0007	Psest_0007	diguanylate cyclase  	2507149015	Pseudomonas stutzeri RCH2
Psest_0008	Psest_0008	1-acyl-sn-glycerol-3-phosphate acyltransferase  	2507149015	Pseudomonas stutzeri RCH2
Psest_0009	Psest_0009	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase  	2507149015	Pseudomonas stutzeri RCH2
Psest_0010	Psest_0010	glycyl-tRNA synthetase beta chain  	2507149015	Pseudomonas stutzeri RCH2
Psest_0011	Psest_0011	glycyl-tRNA synthetase alpha chain  	2507149015	Pseudomonas stutzeri RCH2
Psest_0012	Psest_0012	DNA-3-methyladenine glycosylase I  	2507149015	Pseudomonas stutzeri RCH2
Psest_0013	Psest_0013	KDO2-lipid IV(A) lauroyltransferase  	2507149015	Pseudomonas stutzeri RCH2
Psest_0014	Psest_0014	PilZ domain-containing protein  	2507149015	Pseudomonas stutzeri RCH2
Psest_0015	Psest_0015	Tetratricopeptide repeat-containing protein  	2507149015	Pseudomonas stutzeri RCH2
Psest_0016	Psest_0016	polar amino acid transport system ATP-binding protein  	2507149015	Pseudomonas stutzeri RCH2
Psest_0017	Psest_0017	amino acid ABC transporter membrane protein 2, PAAT family  	2507149015	Pseudomonas stutzeri RCH2
