#Locus	Accession	Start	End	Length	RevGeneID	FwdGeneID	RevOperonId	FwdOperonId
locus_0003	NC_002947.4	4382	5011	630	PP_0004		operon 1	
locus_0004	NC_002947.4	6383	6470	88	PP_0005			
locus_0006	NC_002947.4	8947	9541	595	PP_0009	PP_0010	operon 2	
locus_0007	NC_002947.4	11063	11102	40		PP_0011		operon 3
locus_0010	NC_002947.4	15751	16588	838		PP_5421		
locus_0013	NC_002947.4	22531	23175	645		PP_0018		operon 5
locus_0014	NC_002947.4	25571	25880	310		PP_0021		
locus_0015	NC_002947.4	27154	27598	445	PP_0022			
locus_0016	NC_002947.4	27728	27849	122	PP_0023			
locus_0017	NC_002947.4	29548	29989	442	PP_0024			
locus_0018	NC_002947.4	30143	30430	288	PP_0025	PP_0026		
locus_0020	NC_002947.4	32204	32401	198	PP_0028	PP_5422		
locus_0021	NC_002947.4	32576	32892	317		PP_0029		
locus_0022	NC_002947.4	35628	35893	266	PP_0031	PP_0032		
locus_0023	NC_002947.4	39015	39271	257	PP_0035	PP_0036	operon 6	
locus_0024	NC_002947.4	40241	40468	228		PP_0037		
locus_0025	NC_002947.4	41759	42056	298		PP_0039		
locus_0026	NC_002947.4	43083	43209	127		PP_0040		
locus_0027	NC_002947.4	45525	45726	202	PP_0041			
locus_0028	NC_002947.4	46051	46212	162	PP_0042			
locus_0031	NC_002947.4	51990	52393	404	PP_0045	PP_0046	operon 7	
locus_0032	NC_002947.4	53738	54226	489		PP_0047		
locus_0033	NC_002947.4	54902	55018	117		PP_0048		
locus_0034	NC_002947.4	55972	56160	189	PP_5423			
locus_0036	NC_002947.4	58090	58776	687	PP_5424			
locus_0037	NC_002947.4	59185	59315	131	PP_0050			
locus_0038	NC_002947.4	60609	60830	222	PP_0051	PP_0052		
locus_0039	NC_002947.4	61716	61755	40		PP_0053		operon 8
locus_0040	NC_002947.4	64716	64942	227	PP_0055	PP_0056		
locus_0041	NC_002947.4	66596	66692	97		PP_0057		
locus_0044	NC_002947.4	72849	72931	83	PP_0061	PP_0062	operon 9	
locus_0049	NC_002947.4	79040	79245	206	PP_0068	PP_0069	operon 10	
locus_0051	NC_002947.4	80944	81076	133		PP_5425		
locus_0052	NC_002947.4	81278	81690	413		PP_0071		
locus_0053	NC_002947.4	83129	83260	132	PP_0072	PP_0073		
locus_0055	NC_002947.4	86718	86861	144	PP_0075			
