locusId	sysName	scaffoldId	begin	end	strand	type	desc
TK06_RS00005	Pf6N2E2_1	NZ_CP015225.1	90	860	-	1	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)
TK06_RS00010	Pf6N2E2_2	NZ_CP015225.1	1006	1740	+	1	FIG057993:Thioesterase involved in non-ribosomal peptide biosynthesis
TK06_RS00015	Pf6N2E2_3	NZ_CP015225.1	2014	14454	+	1	Non-ribosomal peptide synthetase modules, pyoverdine
TK06_RS00020	Pf6N2E2_4	NZ_CP015225.1	14454	27997	+	1	Non-ribosomal peptide synthetase modules, pyoverdine @ Siderophore biosynthesis non-ribosomal peptide synthetase modules
TK06_RS00025	Pf6N2E2_6	NZ_CP015225.1	27994	31221	+	1	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
TK06_RS00030	Pf6N2E2_8	NZ_CP015225.1	31862	34336	+	1	TonB-dependent siderophore receptor
TK06_RS00035	Pf6N2E2_9	NZ_CP015225.1	34541	38686	-	1	Pyoverdine sidechain non-ribosomal peptide synthetase PvdD @ Siderophore biosynthesis non-ribosomal peptide synthetase modules
TK06_RS00040	Pf6N2E2_10	NZ_CP015225.1	38724	40382	-	1	PvdE, pyoverdine ABC export system, fused ATPase and permease components
TK06_RS31380	TK06_RS31380	NZ_CP015225.1	40736	40867	-	1	chromophore maturation protein PvdO
TK06_RS00045	Pf6N2E2_12	NZ_CP015225.1	41033	41908	-	1	PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)
TK06_RS00050	Pf6N2E2_13	NZ_CP015225.1	41933	43213	-	1	Pyoverdin biosynthesis protein PvdN, putative aminotransferase, class V
TK06_RS00055	Pf6N2E2_14	NZ_CP015225.1	43210	44580	-	1	Putative dipeptidase, pyoverdin biosynthesis PvdM
TK06_RS00060	Pf6N2E2_15	NZ_CP015225.1	44782	46380	+	1	Pyoverdine biosynthesis related protein PvdP
TK06_RS00065	Pf6N2E2_16	NZ_CP015225.1	46583	46909	-	1	hypothetical protein
TK06_RS00070	TK06_RS00070	NZ_CP015225.1	47918	48544	+	1	hypothetical protein
TK06_RS00075	TK06_RS00075	NZ_CP015225.1	49028	49273	+	1	hypothetical protein
TK06_RS30420	TK06_RS30420	NZ_CP015225.1	49527	49730	-	1	hypothetical protein
TK06_RS00085	Pf6N2E2_18	NZ_CP015225.1	51075	52469	-	1	Outer membrane pyoverdine eflux protein
TK06_RS00090	Pf6N2E2_19	NZ_CP015225.1	52480	54450	-	1	Pyoverdine efflux carrier and ATP binding protein
TK06_RS00095	Pf6N2E2_20	NZ_CP015225.1	54451	55602	-	1	pyoverdine-specific efflux macA-like protein
TK06_RS00100	Pf6N2E2_21	NZ_CP015225.1	56134	56616	+	1	Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis
TK06_RS00105	Pf6N2E2_22	NZ_CP015225.1	56762	58096	+	1	L-ornithine 5-monooxygenase (EC 1.13.12.-), PvdA of pyoverdin biosynthesis
TK06_RS00110	Pf6N2E2_23	NZ_CP015225.1	58372	61572	+	1	Hybrid sensory histidine kinase in two-component regulatory system with EvgA
TK06_RS00115	Pf6N2E2_24	NZ_CP015225.1	61700	62134	+	1	hypothetical protein
TK06_RS00120	Pf6N2E2_25	NZ_CP015225.1	62249	62863	+	1	DNA-binding response regulator, LuxR family
TK06_RS00125	Pf6N2E2_26	NZ_CP015225.1	63017	63883	+	1	Pirin
TK06_RS00130	Pf6N2E2_27	NZ_CP015225.1	63992	65434	+	1	Mechanosensitive ion channel
TK06_RS00135	Pf6N2E2_28	NZ_CP015225.1	65741	66181	+	1	4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein
TK06_RS00140	Pf6N2E2_29	NZ_CP015225.1	66405	66905	+	1	Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis @ FIG006045: Sigma factor, ECF subfamily
TK06_RS00145	Pf6N2E2_30	NZ_CP015225.1	66943	67926	+	1	Antisigma transmembrane sensor FpvR
TK06_RS00150	Pf6N2E2_31	NZ_CP015225.1	68024	70462	+	1	Iron(III) dicitrate transport protein FecA @ Iron siderophore receptor protein
TK06_RS31385	TK06_RS31385	NZ_CP015225.1	70378	70635	-	1	hypothetical protein
TK06_RS00155	Pf6N2E2_32	NZ_CP015225.1	70667	71818	-	1	Membrane protein mosC
TK06_RS00160	Pf6N2E2_33	NZ_CP015225.1	71998	72989	+	1	Diaminopimelate epimerase (EC 5.1.1.7)
TK06_RS00165	Pf6N2E2_34	NZ_CP015225.1	73056	74303	-	1	Cytosine deaminase (EC 3.5.4.1)
TK06_RS00170	Pf6N2E2_35	NZ_CP015225.1	74316	75587	-	1	Cytosine permease
TK06_RS00175	Pf6N2E2_36	NZ_CP015225.1	75774	76604	-	1	Possible oxidoreductase
TK06_RS00180	Pf6N2E2_37	NZ_CP015225.1	76838	77194	-	1	6-carboxytetrahydropterin synthase (EC 4.1.2.50) @ Queuosine biosynthesis QueD, PTPS-I
TK06_RS00185	Pf6N2E2_38	NZ_CP015225.1	77278	78357	-	1	FIG00954456: hypothetical protein
TK06_RS00190	Pf6N2E2_39	NZ_CP015225.1	78501	78809	+	1	FIG00857858: hypothetical protein
TK06_RS00195	Pf6N2E2_40	NZ_CP015225.1	78809	79120	+	1	Phosphonate ABC transporter phosphate-binding periplasmic component (TC 3.A.1.9.1)
TK06_RS00200	Pf6N2E2_41	NZ_CP015225.1	79120	79788	+	1	Two-component system response regulator QseB
