#Locus	Accession	Start	End	Length	RevGeneID	FwdGeneID	RevOperonId	FwdOperonId
locus_0001	NZ_CP015225.1	861	1005	145	TK06_RS00005	TK06_RS00010		
locus_0002	NZ_CP015225.1	1741	2013	273		TK06_RS00015		
locus_0003	NZ_CP015225.1	31222	31861	640		TK06_RS00030		
locus_0005	NZ_CP015225.1	40383	40735	353	TK06_RS00040		operon 1	
locus_0006	NZ_CP015225.1	40868	41032	165	TK06_RS31380			
locus_0008	NZ_CP015225.1	44581	44781	201	TK06_RS00055	TK06_RS00060	operon 2	
locus_0009	NZ_CP015225.1	46910	47917	1008	TK06_RS00065	TK06_RS00070		
locus_0010	NZ_CP015225.1	48545	49027	483		TK06_RS00075		
locus_0011	NZ_CP015225.1	49731	51074	1344	TK06_RS30420			
locus_0013	NZ_CP015225.1	55603	56133	531	TK06_RS00095	TK06_RS00100	operon 3	
locus_0014	NZ_CP015225.1	56617	56761	145		TK06_RS00105		
locus_0015	NZ_CP015225.1	58097	58371	275		TK06_RS00110		
locus_0016	NZ_CP015225.1	61573	61699	127		TK06_RS00115		
locus_0017	NZ_CP015225.1	62135	62248	114		TK06_RS00120		
locus_0018	NZ_CP015225.1	62864	63016	153		TK06_RS00125		
locus_0019	NZ_CP015225.1	63884	63991	108		TK06_RS00130		
locus_0020	NZ_CP015225.1	65435	65740	306		TK06_RS00135		
locus_0021	NZ_CP015225.1	66182	66404	223		TK06_RS00140		operon 4
locus_0023	NZ_CP015225.1	67927	68023	97		TK06_RS00150		
locus_0025	NZ_CP015225.1	71819	71997	179	TK06_RS00155	TK06_RS00160		
locus_0027	NZ_CP015225.1	75588	75773	186	TK06_RS00170		operon 5	
locus_0028	NZ_CP015225.1	76605	76837	233	TK06_RS00175			
locus_0029	NZ_CP015225.1	77195	77277	83	TK06_RS00180			
locus_0030	NZ_CP015225.1	78358	78500	143	TK06_RS00185	TK06_RS00190	operon 6	operon 7
locus_0031	NZ_CP015225.1	81099	81348	250		TK06_RS00210		
locus_0032	NZ_CP015225.1	82669	82927	259		TK06_RS00215		
locus_0033	NZ_CP015225.1	86117	86263	147	TK06_RS00220	TK06_RS00225		
locus_0034	NZ_CP015225.1	87505	87593	89	TK06_RS00230			
locus_0035	NZ_CP015225.1	87789	88036	248	TK06_RS00235		operon 8	
locus_0036	NZ_CP015225.1	88113	88347	235	TK06_RS00240	TK06_RS00245		
locus_0037	NZ_CP015225.1	89985	90315	331	TK06_RS00250	TK06_RS00255		
locus_0038	NZ_CP015225.1	92332	92555	224		TK06_RS00260		
locus_0039	NZ_CP015225.1	94038	94183	146		TK06_RS00265		
locus_0040	NZ_CP015225.1	94260	94338	79		TK06_RS00270		
locus_0043	NZ_CP015225.1	94695	94875	181		TK06_RS00285		operon 9
locus_0046	NZ_CP015225.1	96773	96885	113		TK06_RS00300		
locus_0047	NZ_CP015225.1	97846	97965	120		TK06_RS00305		
locus_0049	NZ_CP015225.1	102853	103009	157	TK06_RS00315	TK06_RS00320		operon 10
locus_0051	NZ_CP015225.1	105085	105222	138		TK06_RS00330		operon 11
locus_0054	NZ_CP015225.1	108304	108456	153		TK06_RS00345		
locus_0055	NZ_CP015225.1	109468	109677	210		TK06_RS00350		operon 12
locus_0056	NZ_CP015225.1	112273	112356	84		TK06_RS30430		
locus_0059	NZ_CP015225.1	114161	114412	252		TK06_RS00365		operon 13
locus_0060	NZ_CP015225.1	117296	117384	89		TK06_RS00380		
locus_0061	NZ_CP015225.1	117946	117986	41		TK06_RS00385		operon 14
locus_0063	NZ_CP015225.1	121533	121700	168		TK06_RS00400		
locus_0065	NZ_CP015225.1	121912	122001	90		TK06_RS00410		
locus_0066	NZ_CP015225.1	122079	122507	429		TK06_RS00415		
locus_0067	NZ_CP015225.1	125104	125286	183	TK06_RS00420	TK06_RS00425		
locus_0068	NZ_CP015225.1	125364	125448	85		TK06_RS00430		
locus_0070	NZ_CP015225.1	127194	127512	319	TK06_RS00440			
locus_0071	NZ_CP015225.1	128383	128718	336	TK06_RS00445	TK06_RS00450		
locus_0072	NZ_CP015225.1	129337	129584	248		TK06_RS00455		
locus_0073	NZ_CP015225.1	130569	130851	283	TK06_RS31390	TK06_RS00470		
locus_0074	NZ_CP015225.1	131398	132656	1259		TK06_RS00475		
locus_0075	NZ_CP015225.1	132858	133054	197		TK06_RS00480		
locus_0076	NZ_CP015225.1	133493	133866	374		TK06_RS00485		
locus_0077	NZ_CP015225.1	134374	134626	253		TK06_RS00490		
locus_0078	NZ_CP015225.1	135297	135484	188	TK06_RS00495	TK06_RS00500		
locus_0079	NZ_CP015225.1	137666	137771	106	TK06_RS00505	TK06_RS00510		
locus_0080	NZ_CP015225.1	138476	138949	474	TK06_RS30440			
locus_0081	NZ_CP015225.1	139379	139672	294	TK06_RS00515			
locus_0082	NZ_CP015225.1	140588	140696	109	TK06_RS00520	TK06_RS00525		operon 16
locus_0084	NZ_CP015225.1	142552	142644	93		TK06_RS00535		
locus_0085	NZ_CP015225.1	143921	144152	232	TK06_RS00545			
locus_0086	NZ_CP015225.1	145365	145492	128	TK06_RS00550	TK06_RS00555		
locus_0087	NZ_CP015225.1	146129	146214	86	TK06_RS31395	TK06_RS30445		
locus_0088	NZ_CP015225.1	148189	148543	355	TK06_RS00560	TK06_RS00565		operon 17
locus_0092	NZ_CP015225.1	155500	155678	179	TK06_RS00595			
locus_0097	NZ_CP015225.1	173672	174047	376	TK06_RS00675	TK06_RS00680	operon 18	
locus_0098	NZ_CP015225.1	176371	176444	74	TK06_RS30450	TK06_RS00685		operon 19
locus_0100	NZ_CP015225.1	181896	182192	297	TK06_RS00705			
locus_0101	NZ_CP015225.1	183570	183657	88	TK06_RS00710			
locus_0102	NZ_CP015225.1	184879	185040	162	TK06_RS00715			
locus_0104	NZ_CP015225.1	188595	188891	297	TK06_RS00730	TK06_RS00735	operon 20	
locus_0105	NZ_CP015225.1	189978	190062	85		TK06_RS00740		
locus_0106	NZ_CP015225.1	191718	191968	251	TK06_RS31400	TK06_RS31405		
locus_0107	NZ_CP015225.1	193540	193731	192	TK06_RS00745			
locus_0108	NZ_CP015225.1	194545	194721	177	TK06_RS00750	TK06_RS00755		
locus_0109	NZ_CP015225.1	195373	195437	65		TK06_RS00760		operon 21
locus_0110	NZ_CP015225.1	200837	201071	235		TK06_RS00770		operon 22
locus_0112	NZ_CP015225.1	204226	204499	274		TK06_RS00785		
locus_0113	NZ_CP015225.1	207441	207689	249	TK06_RS00795	TK06_RS00800	operon 23	operon 24
locus_0116	NZ_CP015225.1	211833	212079	247	TK06_RS00815	TK06_RS00820		
locus_0118	NZ_CP015225.1	213483	213700	218	TK06_RS00830	TK06_RS00835	operon 25	
locus_0119	NZ_CP015225.1	214148	214280	133		TK06_RS00840		operon 26
locus_0124	NZ_CP015225.1	221491	221618	128	TK06_RS00875	TK06_RS00880		
locus_0125	NZ_CP015225.1	221925	222086	162		TK06_RS00885		
locus_0126	NZ_CP015225.1	222683	222971	289	TK06_RS00890			
