locusId	sysName	scaffoldId	begin	end	strand	type	desc
Pf6N2E2_1	TK06_RS00005	NZ_CP015225.1	90	860	-	1	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)
Pf6N2E2_2	TK06_RS00010	NZ_CP015225.1	1006	1740	+	1	FIG057993:Thioesterase involved in non-ribosomal peptide biosynthesis
Pf6N2E2_3	TK06_RS00015	NZ_CP015225.1	2014	14454	+	1	Non-ribosomal peptide synthetase modules, pyoverdine
Pf6N2E2_4	TK06_RS00020	NZ_CP015225.1	14454	20954	+	1	Non-ribosomal peptide synthetase modules, pyoverdine @ Siderophore biosynthesis non-ribosomal peptide synthetase modules
Pf6N2E2_6	TK06_RS00025	NZ_CP015225.1	27994	31221	+	1	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)
Pf6N2E2_8	TK06_RS00030	NZ_CP015225.1	31862	34336	+	1	TonB-dependent siderophore receptor
Pf6N2E2_9	TK06_RS00035	NZ_CP015225.1	34541	38686	-	1	Pyoverdine sidechain non-ribosomal peptide synthetase PvdD @ Siderophore biosynthesis non-ribosomal peptide synthetase modules
Pf6N2E2_10	TK06_RS00040	NZ_CP015225.1	38724	40382	-	1	PvdE, pyoverdine ABC export system, fused ATPase and permease components
Pf6N2E2_12	TK06_RS00045	NZ_CP015225.1	41033	41908	-	1	PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)
Pf6N2E2_13	TK06_RS00050	NZ_CP015225.1	41933	43213	-	1	Pyoverdin biosynthesis protein PvdN, putative aminotransferase, class V
Pf6N2E2_14	TK06_RS00055	NZ_CP015225.1	43210	44580	-	1	Putative dipeptidase, pyoverdin biosynthesis PvdM
Pf6N2E2_15	TK06_RS00060	NZ_CP015225.1	44782	46380	+	1	Pyoverdine biosynthesis related protein PvdP
Pf6N2E2_16	TK06_RS00065	NZ_CP015225.1	46583	46909	-	1	hypothetical protein
Pf6N2E2_17	TK06_RS00080	NZ_CP015225.1	49527	49730	-	1	hypothetical protein
Pf6N2E2_18	TK06_RS00085	NZ_CP015225.1	51075	52469	-	1	Outer membrane pyoverdine eflux protein
Pf6N2E2_19	TK06_RS00090	NZ_CP015225.1	52480	54450	-	1	Pyoverdine efflux carrier and ATP binding protein
Pf6N2E2_20	TK06_RS00095	NZ_CP015225.1	54451	55602	-	1	pyoverdine-specific efflux macA-like protein
Pf6N2E2_21	TK06_RS00100	NZ_CP015225.1	56134	56616	+	1	Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis
Pf6N2E2_22	TK06_RS00105	NZ_CP015225.1	56762	58096	+	1	L-ornithine 5-monooxygenase (EC 1.13.12.-), PvdA of pyoverdin biosynthesis
Pf6N2E2_23	TK06_RS00110	NZ_CP015225.1	58372	61572	+	1	Hybrid sensory histidine kinase in two-component regulatory system with EvgA
Pf6N2E2_24	TK06_RS00115	NZ_CP015225.1	61700	62134	+	1	hypothetical protein
Pf6N2E2_25	TK06_RS00120	NZ_CP015225.1	62210	62863	+	1	DNA-binding response regulator, LuxR family
Pf6N2E2_26	TK06_RS00125	NZ_CP015225.1	63017	63883	+	1	Pirin
Pf6N2E2_27	TK06_RS00130	NZ_CP015225.1	63992	65434	+	1	Mechanosensitive ion channel
Pf6N2E2_28	TK06_RS00135	NZ_CP015225.1	65741	66181	+	1	4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein
Pf6N2E2_29	TK06_RS00140	NZ_CP015225.1	66405	66905	+	1	Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis @ FIG006045: Sigma factor, ECF subfamily
Pf6N2E2_30	TK06_RS00145	NZ_CP015225.1	66943	67926	+	1	Antisigma transmembrane sensor FpvR
Pf6N2E2_31	TK06_RS00150	NZ_CP015225.1	68024	70462	+	1	Iron(III) dicitrate transport protein FecA @ Iron siderophore receptor protein
