Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name
Pf6N2E2_1	TK06_RS00005	Trans-aconitate 2-methyltransferase (EC 2.1.1.144)	N2E2	P. fluorescens N2E2
Pf6N2E2_2	TK06_RS00010	FIG057993:Thioesterase involved in non-ribosomal peptide biosynthesis	N2E2	P. fluorescens N2E2
Pf6N2E2_3	TK06_RS00015	Non-ribosomal peptide synthetase modules, pyoverdine	N2E2	P. fluorescens N2E2
Pf6N2E2_4	TK06_RS00020	Non-ribosomal peptide synthetase modules, pyoverdine @ Siderophore biosynthesis non-ribosomal peptide synthetase modules	N2E2	P. fluorescens N2E2
Pf6N2E2_6	TK06_RS00025	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	N2E2	P. fluorescens N2E2
Pf6N2E2_8	TK06_RS00030	TonB-dependent siderophore receptor	N2E2	P. fluorescens N2E2
Pf6N2E2_9	TK06_RS00035	Pyoverdine sidechain non-ribosomal peptide synthetase PvdD @ Siderophore biosynthesis non-ribosomal peptide synthetase modules	N2E2	P. fluorescens N2E2
Pf6N2E2_10	TK06_RS00040	PvdE, pyoverdine ABC export system, fused ATPase and permease components	N2E2	P. fluorescens N2E2
Pf6N2E2_12	TK06_RS00045	PvdO, pyoverdine responsive serine/threonine kinase (predicted by OlgaV)	N2E2	P. fluorescens N2E2
Pf6N2E2_13	TK06_RS00050	Pyoverdin biosynthesis protein PvdN, putative aminotransferase, class V	N2E2	P. fluorescens N2E2
Pf6N2E2_14	TK06_RS00055	Putative dipeptidase, pyoverdin biosynthesis PvdM	N2E2	P. fluorescens N2E2
Pf6N2E2_15	TK06_RS00060	Pyoverdine biosynthesis related protein PvdP	N2E2	P. fluorescens N2E2
Pf6N2E2_16	TK06_RS00065	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_17	TK06_RS00080	hypothetical protein	N2E2	P. fluorescens N2E2
Pf6N2E2_18	TK06_RS00085	Outer membrane pyoverdine eflux protein	N2E2	P. fluorescens N2E2
Pf6N2E2_19	TK06_RS00090	Pyoverdine efflux carrier and ATP binding protein	N2E2	P. fluorescens N2E2
Pf6N2E2_20	TK06_RS00095	pyoverdine-specific efflux macA-like protein	N2E2	P. fluorescens N2E2
Pf6N2E2_21	TK06_RS00100	Sigma-70 factor FpvI (ECF subfamily), controling pyoverdin biosynthesis	N2E2	P. fluorescens N2E2
Pf6N2E2_22	TK06_RS00105	L-ornithine 5-monooxygenase (EC 1.13.12.-), PvdA of pyoverdin biosynthesis	N2E2	P. fluorescens N2E2
Pf6N2E2_23	TK06_RS00110	Hybrid sensory histidine kinase in two-component regulatory system with EvgA	N2E2	P. fluorescens N2E2
