Operon number	Start	Stop	Strand	Number of Genes	Genes_1	Genes_2	Genes_3	Genes_4	Genes_5	Genes_6	Genes_7	Genes_8	Genes_9	Genes_10	Genes_11	Genes_12	Genes_13	Genes_14	Genes_15
operon 1	661	6783	+	4	Psest_0002	 Psest_0003	 Psest_0004	 Psest_0005											
operon 2	8642	14354	-	5	Psest_0007	 Psest_0008	 Psest_0009	 Psest_0010	 Psest_0011										
operon 3	15128	16308	+	2	Psest_0013	 Psest_0014													
operon 4	16798	18946	-	3	Psest_0016	 Psest_0017	 Psest_0018												
operon 5	20255	24528	-	4	Psest_0020	 Psest_0021	 Psest_0022	 Psest_0023											
operon 6	30553	31485	-	2	Psest_0030	 Psest_0031													
operon 7	33359	36939	+	2	Psest_0034	 Psest_0035													
operon 8	58774	60392	-	2	Psest_0057	 Psest_0058													
operon 9	60782	61338	+	2	Psest_0059	 Psest_0060													
operon 10	61962	63979	-	2	Psest_0062	 Psest_0063													
operon 11	70720	73112	+	2	Psest_0070	 Psest_0071													
operon 12	73209	76377	+	3	Psest_0072	 Psest_0073	 Psest_0074												
operon 13	78457	79899	-	2	Psest_0077	 Psest_0078													
operon 14	81839	83738	+	2	Psest_0081	 Psest_0082													
operon 15	84675	87103	-	2	Psest_0083	 Psest_0084													
operon 16	88546	89285	+	2	Psest_0086	 Psest_0087													
operon 17	89559	99257	-	12	Psest_0088	 Psest_0089	 Psest_0090	 Psest_0091	 Psest_0092	 Psest_0093	 Psest_0094	 Psest_0095	 Psest_0096	 Psest_0097	 Psest_0098	 Psest_0099			
operon 18	101350	107451	+	7	Psest_0102	 Psest_0103	 Psest_0104	 Psest_0105	 Psest_0106	 Psest_0107	 Psest_0108								
operon 19	107576	108768	+	2	Psest_0109	 Psest_0110													
operon 20	111773	112980	-	2	Psest_0113	 Psest_0114													
operon 21	113172	115534	+	4	Psest_0115	 Psest_0116	 Psest_0117	 Psest_0118											
operon 22	115976	127400	-	8	Psest_0120	 Psest_0121	 Psest_0122	 Psest_0123	 Psest_0124	 Psest_0125	 Psest_0126	 Psest_0127							
operon 23	127453	134370	-	7	Psest_0128	 Psest_0129	 Psest_0130	 Psest_0131	 Psest_0132	 Psest_0133	 Psest_0134								
operon 24	135761	138751	-	4	Psest_0136	 Psest_0137	 Psest_0138	 Psest_0139											
operon 25	143043	146601	-	3	Psest_0144	 Psest_0145	 Psest_0146												
operon 26	147280	150301	-	3	Psest_0148	 Psest_0149	 Psest_0150												
operon 27	152099	154371	+	4	Psest_0152	 Psest_0153	 Psest_0154	 Psest_0155											
operon 28	154470	156076	+	2	Psest_0156	 Psest_0157													
operon 29	157057	159170	-	2	Psest_0159	 Psest_0160													
operon 30	162307	162977	+	2	Psest_0163	 Psest_0164													
operon 31	166834	167354	-	2	Psest_0172	 Psest_0173													
operon 32	167484	172301	+	5	Psest_0174	 Psest_0175	 Psest_0176	 Psest_0177	 Psest_0178										
operon 33	175363	176887	+	2	Psest_0181	 Psest_0182													
operon 34	181742	185142	+	3	Psest_0186	 Psest_0187	 Psest_0188												
operon 35	186046	189602	-	3	Psest_0190	 Psest_0191	 Psest_0192												
operon 36	202804	204868	-	2	Psest_0203	 Psest_0204													
operon 37	205051	210383	+	5	Psest_0205	 Psest_0206	 Psest_0207	 Psest_0208	 Psest_0209										
operon 38	213329	222091	+	3	Psest_0212	 Psest_0213	 Psest_0214												
operon 39	226768	230742	+	2	Psest_0220	 Psest_0221													
operon 40	234613	237373	-	2	Psest_0226	 Psest_0227													
operon 41	238670	239983	+	2	Psest_0229	 Psest_0230													
operon 42	252880	254864	-	2	Psest_0242	 Psest_0243													
operon 43	255560	259128	-	3	Psest_0245	 Psest_0246	 Psest_0247												
operon 44	260078	267283	+	4	Psest_0249	 Psest_0250	 Psest_0251	 Psest_0252											
operon 45	268849	272349	-	3	Psest_0255	 Psest_0256	 Psest_0257												
operon 46	272579	275543	+	3	Psest_0258	 Psest_0259	 Psest_0260												
operon 47	282659	283728	+	2	Psest_0266	 Psest_0267													
operon 48	286128	289397	-	3	Psest_0270	 Psest_0271	 Psest_0272												
operon 49	291463	295782	-	6	Psest_0275	 Psest_0276	 Psest_0277	 Psest_0278	 Psest_0279	 Psest_0280									
operon 50	298149	300273	-	3	Psest_0282	 Psest_0283	 Psest_0284												
operon 51	302576	304623	-	2	Psest_0287	 Psest_0288													
operon 52	305220	309097	-	5	Psest_0290	 Psest_0291	 Psest_0292	 Psest_0293	 Psest_0294										
operon 53	312800	324525	+	5	Psest_0300	 Psest_0301	 Psest_0302	 Psest_0303	 Psest_0304										
operon 54	326922	328077	+	2	Psest_0307	 Psest_0308													
operon 55	328340	334055	+	3	Psest_0309	 Psest_0310	 Psest_0311												
operon 56	336203	338625	-	2	Psest_0313	 Psest_0314													
operon 57	343620	345317	+	2	Psest_0320	 Psest_0321													
operon 58	345931	348125	-	2	Psest_0323	 Psest_0324													
operon 59	348220	349715	-	2	Psest_0325	 Psest_0326													
operon 60	349860	352891	+	2	Psest_0327	 Psest_0328													
operon 61	352999	355252	+	2	Psest_0329	 Psest_0330													
operon 62	355389	355938	+	2	Psest_0331	 Psest_0332													
operon 63	358734	359578	+	2	Psest_0336	 Psest_0337													
operon 64	369964	372000	+	2	Psest_0346	 Psest_0347													
