#Locus	Accession	Start	End	Length	RevGeneID	FwdGeneID	RevOperonId	FwdOperonId
locus_0001	NC_019936.1	147	660	514	Psest_0001	Psest_0002		operon 1
locus_0004	NC_019936.1	6784	7008	225		Psest_0006		
locus_0006	NC_019936.1	14355	14461	107	Psest_0011	Psest_0012	operon 2	
locus_0007	NC_019936.1	15020	15127	108		Psest_0013		operon 3
locus_0009	NC_019936.1	16652	16797	146	Psest_0015			
locus_0010	NC_019936.1	18947	19066	120	Psest_0018		operon 4	
locus_0011	NC_019936.1	19925	20254	330	Psest_0019			
locus_0014	NC_019936.1	24529	24676	148	Psest_0023	Psest_0024	operon 5	
locus_0015	NC_019936.1	25703	25789	87		Psest_0025		
locus_0016	NC_019936.1	26888	27042	155		Psest_0026		
locus_0017	NC_019936.1	28631	28782	152	Psest_0027	Psest_0028		
locus_0020	NC_019936.1	31486	31731	246	Psest_0031	Psest_0032	operon 6	
locus_0021	NC_019936.1	32671	32819	149		Psest_0033		
locus_0022	NC_019936.1	33234	33358	125		Psest_0034		operon 7
locus_0024	NC_019936.1	38622	38804	183	Psest_0036	Psest_0037		
locus_0025	NC_019936.1	40875	40953	79		Psest_0038		
locus_0026	NC_019936.1	43256	43503	248	Psest_0039	Psest_0040		
locus_0027	NC_019936.1	43702	43885	184		Psest_0041		
locus_0028	NC_019936.1	46389	46531	143	Psest_0042			
locus_0029	NC_019936.1	47084	47307	224	Psest_0043	Psest_0044		
locus_0030	NC_019936.1	47584	47997	414		Psest_0045		
locus_0031	NC_019936.1	48376	48554	179		Psest_0046		
locus_0032	NC_019936.1	50522	50928	407	Psest_0047	Psest_0048		
locus_0033	NC_019936.1	52765	52950	186		Psest_0049		
locus_0034	NC_019936.1	53557	53711	155		Psest_0050		
locus_0035	NC_019936.1	53994	54186	193		Psest_0051		
locus_0036	NC_019936.1	55280	55446	167	Psest_0052	Psest_0053		
locus_0037	NC_019936.1	56430	56640	211	Psest_0054			
locus_0038	NC_019936.1	57463	57790	328	Psest_0055			
locus_0039	NC_019936.1	58634	58773	140	Psest_0056			
locus_0041	NC_019936.1	60393	60781	389	Psest_0058	Psest_0059	operon 8	operon 9
locus_0042	NC_019936.1	61787	61961	175	Psest_0061			
locus_0043	NC_019936.1	63980	64150	171	Psest_0063	Psest_0064	operon 10	
locus_0044	NC_019936.1	65054	65324	271		Psest_0065		
locus_0045	NC_019936.1	66717	66992	276		Psest_0066		
locus_0046	NC_019936.1	68501	68601	101	Psest_0067	Psest_0068		
locus_0047	NC_019936.1	70301	70719	419	Psest_0069	Psest_0070		operon 11
locus_0048	NC_019936.1	73113	73208	96		Psest_0072		operon 12
locus_0049	NC_019936.1	76378	76693	316		Psest_0075		
locus_0050	NC_019936.1	78332	78456	125	Psest_0076			
locus_0052	NC_019936.1	79900	79993	94	Psest_0078		operon 13	
locus_0053	NC_019936.1	80420	80562	143	Psest_0079	Psest_0080		
locus_0054	NC_019936.1	81622	81838	217		Psest_0081		operon 14
locus_0056	NC_019936.1	87104	87237	134	Psest_0084		operon 15	
locus_0057	NC_019936.1	88192	88545	354	Psest_0085	Psest_0086		operon 16
locus_0059	NC_019936.1	90854	90951	98	Psest_0089			
locus_0064	NC_019936.1	99258	99305	48	Psest_0099		operon 17	
locus_0065	NC_019936.1	100137	100411	275	Psest_0100	Psest_0101		
locus_0066	NC_019936.1	101177	101349	173		Psest_0102		operon 18
locus_0068	NC_019936.1	107452	107575	124		Psest_0109		operon 19
locus_0070	NC_019936.1	108769	109204	436		Psest_0111		
locus_0072	NC_019936.1	112981	113171	191	Psest_0114	Psest_0115	operon 20	operon 21
locus_0074	NC_019936.1	115763	115975	213	Psest_0119			
locus_0078	NC_019936.1	127401	127452	52	Psest_0127		operon 22	
locus_0083	NC_019936.1	134371	134748	378	Psest_0134		operon 23	
